DateID,Date,Year,Month,MonthName,Day
20250101,2025-01-01,2025,1,January,1
20250102,2025-01-02,2025,1,January,2
20250103,2025-01-03,2025,1,January,3
20250104,2025-01-04,2025,1,January,4
20250105,2025-01-05,2025,1,January,5
20250106,2025-01-06,2025,1,January,6
20250107,2025-01-07,2025,1,January,7
20250108,2025-01-08,2025,1,January,8
20250109,2025-01-09,2025,1,January,9
20250110,2025-01-10,2025,1,January,10
20250111,2025-01-11,2025,1,January,11
20250112,2025-01-12,2025,1,January,12
20250113,2025-01-13,2025,1,January,13
20250114,2025-01-14,2025,1,January,14
20250115,2025-01-15,2025,1,January,15
20250116,2025-01-16,2025,1,January,16
20250117,2025-01-17,2025,1,January,17
20250118,2025-01-18,2025,1,January,18
20250119,2025-01-19,2025,1,January,19
20250120,2025-01-20,2025,1,January,20
20250121,2025-01-21,2025,1,January,21
20250122,2025-01-22,2025,1,January,22
20250123,2025-01-23,2025,1,January,23
20250124,2025-01-24,2025,1,January,24
20250125,2025-01-25,2025,1,January,25
20250126,2025-01-26,2025,1,January,26
20250127,2025-01-27,2025,1,January,27
20250128,2025-01-28,2025,1,January,28
20250129,2025-01-29,2025,1,January,29
20250130,2025-01-30,2025,1,January,30
20250131,2025-01-31,2025,1,January,31
20250201,2025-02-01,2025,2,February,1
20250202,2025-02-02,2025,2,February,2
20250203,2025-02-03,2025,2,February,3
20250204,2025-02-04,2025,2,February,4
20250205,2025-02-05,2025,2,February,5
20250206,2025-02-06,2025,2,February,6
20250207,2025-02-07,2025,2,February,7
20250208,2025-02-08,2025,2,February,8
20250209,2025-02-09,2025,2,February,9
20250210,2025-02-10,2025,2,February,10
20250211,2025-02-11,2025,2,February,11
20250212,2025-02-12,2025,2,February,12
20250213,2025-02-13,2025,2,February,13
20250214,2025-02-14,2025,2,February,14
20250215,2025-02-15,2025,2,February,15
20250216,2025-02-16,2025,2,February,16
20250217,2025-02-17,2025,2,February,17
20250218,2025-02-18,2025,2,February,18
20250219,2025-02-19,2025,2,February,19
20250220,2025-02-20,2025,2,February,20
20250221,2025-02-21,2025,2,February,21
20250222,2025-02-22,2025,2,February,22
20250223,2025-02-23,2025,2,February,23
20250224,2025-02-24,2025,2,February,24
20250225,2025-02-25,2025,2,February,25
20250226,2025-02-26,2025,2,February,26
20250227,2025-02-27,2025,2,February,27
20250228,2025-02-28,2025,2,February,28
20250301,2025-03-01,2025,3,March,1
20250302,2025-03-02,2025,3,March,2
20250303,2025-03-03,2025,3,March,3
20250304,2025-03-04,2025,3,March,4
20250305,2025-03-05,2025,3,March,5
20250306,2025-03-06,2025,3,March,6
20250307,2025-03-07,2025,3,March,7
20250308,2025-03-08,2025,3,March,8
20250309,2025-03-09,2025,3,March,9
20250310,2025-03-10,2025,3,March,10
20250311,2025-03-11,2025,3,March,11
20250312,2025-03-12,2025,3,March,12
20250313,2025-03-13,2025,3,March,13
20250314,2025-03-14,2025,3,March,14
20250315,2025-03-15,2025,3,March,15
20250316,2025-03-16,2025,3,March,16
20250317,2025-03-17,2025,3,March,17
20250318,2025-03-18,2025,3,March,18
20250319,2025-03-19,2025,3,March,19
20250320,2025-03-20,2025,3,March,20
20250321,2025-03-21,2025,3,March,21
20250322,2025-03-22,2025,3,March,22
20250323,2025-03-23,2025,3,March,23
20250324,2025-03-24,2025,3,March,24
20250325,2025-03-25,2025,3,March,25
20250326,2025-03-26,2025,3,March,26
20250327,2025-03-27,2025,3,March,27
20250328,2025-03-28,2025,3,March,28
20250329,2025-03-29,2025,3,March,29
20250330,2025-03-30,2025,3,March,30
20250331,2025-03-31,2025,3,March,31
20250401,2025-04-01,2025,4,April,1
20250402,2025-04-02,2025,4,April,2
20250403,2025-04-03,2025,4,April,3
20250404,2025-04-04,2025,4,April,4
20250405,2025-04-05,2025,4,April,5
20250406,2025-04-06,2025,4,April,6
20250407,2025-04-07,2025,4,April,7
20250408,2025-04-08,2025,4,April,8
20250409,2025-04-09,2025,4,April,9
20250410,2025-04-10,2025,4,April,10
20250411,2025-04-11,2025,4,April,11
20250412,2025-04-12,2025,4,April,12
20250413,2025-04-13,2025,4,April,13
20250414,2025-04-14,2025,4,April,14
20250415,2025-04-15,2025,4,April,15
20250416,2025-04-16,2025,4,April,16
20250417,2025-04-17,2025,4,April,17
20250418,2025-04-18,2025,4,April,18
20250419,2025-04-19,2025,4,April,19
20250420,2025-04-20,2025,4,April,20
20250421,2025-04-21,2025,4,April,21
20250422,2025-04-22,2025,4,April,22
20250423,2025-04-23,2025,4,April,23
20250424,2025-04-24,2025,4,April,24
20250425,2025-04-25,2025,4,April,25
20250426,2025-04-26,2025,4,April,26
20250427,2025-04-27,2025,4,April,27
20250428,2025-04-28,2025,4,April,28
20250429,2025-04-29,2025,4,April,29
20250430,2025-04-30,2025,4,April,30
20250501,2025-05-01,2025,5,May,1
20250502,2025-05-02,2025,5,May,2
20250503,2025-05-03,2025,5,May,3
20250504,2025-05-04,2025,5,May,4
20250505,2025-05-05,2025,5,May,5
20250506,2025-05-06,2025,5,May,6
20250507,2025-05-07,2025,5,May,7
20250508,2025-05-08,2025,5,May,8
20250509,2025-05-09,2025,5,May,9
20250510,2025-05-10,2025,5,May,10
20250511,2025-05-11,2025,5,May,11
20250512,2025-05-12,2025,5,May,12
20250513,2025-05-13,2025,5,May,13
20250514,2025-05-14,2025,5,May,14
20250515,2025-05-15,2025,5,May,15
20250516,2025-05-16,2025,5,May,16
20250517,2025-05-17,2025,5,May,17
20250518,2025-05-18,2025,5,May,18
20250519,2025-05-19,2025,5,May,19
20250520,2025-05-20,2025,5,May,20
20250521,2025-05-21,2025,5,May,21
20250522,2025-05-22,2025,5,May,22
20250523,2025-05-23,2025,5,May,23
20250524,2025-05-24,2025,5,May,24
20250525,2025-05-25,2025,5,May,25
20250526,2025-05-26,2025,5,May,26
20250527,2025-05-27,2025,5,May,27
20250528,2025-05-28,2025,5,May,28
20250529,2025-05-29,2025,5,May,29
20250530,2025-05-30,2025,5,May,30
20250531,2025-05-31,2025,5,May,31
20250601,2025-06-01,2025,6,June,1
20250602,2025-06-02,2025,6,June,2
20250603,2025-06-03,2025,6,June,3
20250604,2025-06-04,2025,6,June,4
20250605,2025-06-05,2025,6,June,5
20250606,2025-06-06,2025,6,June,6
20250607,2025-06-07,2025,6,June,7
20250608,2025-06-08,2025,6,June,8
20250609,2025-06-09,2025,6,June,9
20250610,2025-06-10,2025,6,June,10
20250611,2025-06-11,2025,6,June,11
20250612,2025-06-12,2025,6,June,12
20250613,2025-06-13,2025,6,June,13
20250614,2025-06-14,2025,6,June,14
20250615,2025-06-15,2025,6,June,15
20250616,2025-06-16,2025,6,June,16
20250617,2025-06-17,2025,6,June,17
20250618,2025-06-18,2025,6,June,18
20250619,2025-06-19,2025,6,June,19
20250620,2025-06-20,2025,6,June,20
20250621,2025-06-21,2025,6,June,21
20250622,2025-06-22,2025,6,June,22
20250623,2025-06-23,2025,6,June,23
20250624,2025-06-24,2025,6,June,24
20250625,2025-06-25,2025,6,June,25
20250626,2025-06-26,2025,6,June,26
20250627,2025-06-27,2025,6,June,27
20250628,2025-06-28,2025,6,June,28
20250629,2025-06-29,2025,6,June,29
20250630,2025-06-30,2025,6,June,30
20250701,2025-07-01,2025,7,July,1
20250702,2025-07-02,2025,7,July,2
20250703,2025-07-03,2025,7,July,3
20250704,2025-07-04,2025,7,July,4
20250705,2025-07-05,2025,7,July,5
20250706,2025-07-06,2025,7,July,6
20250707,2025-07-07,2025,7,July,7
20250708,2025-07-08,2025,7,July,8
20250709,2025-07-09,2025,7,July,9
20250710,2025-07-10,2025,7,July,10
20250711,2025-07-11,2025,7,July,11
20250712,2025-07-12,2025,7,July,12
20250713,2025-07-13,2025,7,July,13
20250714,2025-07-14,2025,7,July,14
20250715,2025-07-15,2025,7,July,15
20250716,2025-07-16,2025,7,July,16
20250717,2025-07-17,2025,7,July,17
20250718,2025-07-18,2025,7,July,18
20250719,2025-07-19,2025,7,July,19
20250720,2025-07-20,2025,7,July,20
20250721,2025-07-21,2025,7,July,21
20250722,2025-07-22,2025,7,July,22
20250723,2025-07-23,2025,7,July,23
20250724,2025-07-24,2025,7,July,24
20250725,2025-07-25,2025,7,July,25
20250726,2025-07-26,2025,7,July,26
20250727,2025-07-27,2025,7,July,27
20250728,2025-07-28,2025,7,July,28
20250729,2025-07-29,2025,7,July,29
